name,year,type,value,unit,full_name,text
year,,i,2011,,Weather year,"Only the years 2011, 2012, 2013, 2014 are available (until we get a bigger hard-drive)"
frequency,,i,3,,Sampling frequency for weather time-series,"n-hourly, n<3 is very slow, big n solves faster (n=25 or n=49 give fast and relatively accurate results)"
load,,f,100,MW,Constant electricity demand,Demand should be large enough for utility-scale assets but small enough to neglect land availability constraints
wind_max,,f,1e7,MWp,Wind maximum capacity allowed,
wind_min,,f,0,MWp,Wind minimum capacity allowed,
dispatchable1_cost,2020,f,441.63,EUR/kW,Dispatchable technology 1 capital cost (overnight),
dispatchable1_cost,2030,f,441.63,EUR/kW,Dispatchable technology 1 capital cost (overnight),
dispatchable1_cost,2050,f,441.63,EUR/kW,Dispatchable technology 1 capital cost (overnight),
dispatchable1_marginal_cost,2020,f,50,EUR/MWhel,Dispatchable technology 1 marginal cost (including fuel and VOM),
dispatchable1_marginal_cost,2030,f,50,EUR/MWhel,Dispatchable technology 1 marginal cost (including fuel and VOM),
dispatchable1_marginal_cost,2050,f,50,EUR/MWhel,Dispatchable technology 1 marginal cost (including fuel and VOM),
dispatchable1_emissions,2020,f,500,gCO2eq/kWhel,Dispatchable technology 1 emissions factor,
dispatchable1_emissions,2030,f,500,gCO2eq/kWhel,Dispatchable technology 1 emissions factor,
dispatchable1_emissions,2050,f,500,gCO2eq/kWhel,Dispatchable technology 1 emissions factor,
dispatchable1_fom,2020,f,3,percent of overnight cost per year,Dispatchable technology 1 fixed operation and maintenance costs,
dispatchable1_fom,2030,f,3,percent of overnight cost per year,Dispatchable technology 1 fixed operation and maintenance costs,
dispatchable1_fom,2050,f,3,percent of overnight cost per year,Dispatchable technology 1 fixed operation and maintenance costs,
dispatchable1_lifetime,2020,f,25,years,Dispatchable technology 1 lifetime,
dispatchable1_lifetime,2030,f,25,years,Dispatchable technology 1 lifetime,
dispatchable1_lifetime,2050,f,25,years,Dispatchable technology 1 lifetime,
dispatchable2_cost,2020,f,6624.48,EUR/kW,Dispatchable technology 2 capital cost (overnight),
dispatchable2_cost,2030,f,6624.48,EUR/kW,Dispatchable technology 2 capital cost (overnight),
dispatchable2_cost,2050,f,6624.48,EUR/kW,Dispatchable technology 2 capital cost (overnight),
dispatchable2_marginal_cost,2020,f,10,EUR/MWhel,Dispatchable technology 2 marginal cost (including fuel and VOM),
dispatchable2_marginal_cost,2030,f,10,EUR/MWhel,Dispatchable technology 2 marginal cost (including fuel and VOM),
dispatchable2_marginal_cost,2050,f,10,EUR/MWhel,Dispatchable technology 2 marginal cost (including fuel and VOM),
dispatchable2_emissions,2020,f,0,gCO2eq/kWhel,Dispatchable technology 2 emissions factor,
dispatchable2_emissions,2030,f,0,gCO2eq/kWhel,Dispatchable technology 2 emissions factor,
dispatchable2_emissions,2050,f,0,gCO2eq/kWhel,Dispatchable technology 2 emissions factor,
dispatchable2_fom,2020,f,3,percent of overnight cost per year,Dispatchable technology 2 fixed operation and maintenance costs,
dispatchable2_fom,2030,f,3,percent of overnight cost per year,Dispatchable technology 2 fixed operation and maintenance costs,
dispatchable2_fom,2050,f,3,percent of overnight cost per year,Dispatchable technology 2 fixed operation and maintenance costs,
dispatchable2_lifetime,2020,f,25,years,Dispatchable technology 2 lifetime,
dispatchable2_lifetime,2030,f,25,years,Dispatchable technology 2 lifetime,
dispatchable2_lifetime,2050,f,25,years,Dispatchable technology 2 lifetime,
solar_max,,f,1e7,MWp,Solar maximum capacity allowed,
solar_min,,f,0,MWp,Solar minimum capacity allowed,
wind_discount,,f,5,percent,Onshore wind turbine discount rate,
solar_discount,,f,5,percent,Utility-scale solar PV discount rate,
battery_energy_discount,,f,5,percent,Utility-scale battery energy discount rate,
battery_power_discount,,f,5,percent,Utility-scale battery converter power discount rate,
hydrogen_electrolyser_discount,,f,5,percent,Hydrogen electrolyser discount rate,
dispatchable1_discount,,f,10,percent,Dispatchable technology 1 discount rate,
dispatchable2_discount,,f,10,percent,Dispatchable technology 2 discount rate,
wind,,b,True,,Onshore wind turbine,
solar,,b,True,,Utility-scale solar PV,
battery,,b,True,,Utility-scale battery storage,
hydrogen,,b,True,,Hydrogen gas storage,
methanol,,b,False,,Methanol storage (methanolisation for PtMeOH then Allam cycle for MeOHtP),
voll,,b,False,,Activate Value of Lost Load,
voll_price,,f,2000,EUR/tMWh,Value of Lost Load,
elastic,,b,False,,Elastic demand,
elastic_intercept,,f,2000,EUR/tMWh,Price at which load vanishes,
dispatchable1,,b,False,,Include dispatchable technology 1,Default assumption is based on open cycle natural gas turbine (OCGT)
dispatchable2,,b,False,,Include dispatchable technology 2,Default assumption is based on new nuclear EPR reactor in Europe
co2_limit,,b,False,,Limit on CO2 emissions,
co2_emissions,,f,0.0,gCO2eq/kWhel,Maximum average system emissions,
methanolisation_min_part_load,,f,50.0,percent,Methanol synthesis minimum part load,Private discussions.
methanolisation_efficiency,,f,0.8613,MWh-MeOH-LHV/MWh-H2-LHV,"Methanol synthesis hydrogen input 1.161 MJ_H2/MJ_(CH3OH,LHV).","Concave & Aramco. (2022). E-Fuels: A techno-economic assessment of European domestic production and imports towards 2050 (Concawe Report 17/22). Retrieved 12 April 2023, from https://www.concawe.eu/publication/e-fuels-a-techno-economic-assessment-of-european-domestic-production-and-imports-towards-2050/ , table 83."
methanolisation_co2,,f,0.25272,tCO2/MWh-MeOH-LHV,"Methanol synthesis carbon dioxide input 0.0702 kg/MJ_(CH3OH,LHV).","Concave & Aramco. (2022). E-Fuels: A techno-economic assessment of European domestic production and imports towards 2050 (Concawe Report 17/22). Retrieved 12 April 2023, from https://www.concawe.eu/publication/e-fuels-a-techno-economic-assessment-of-european-domestic-production-and-imports-towards-2050/ , table 83."
methanolisation_electricity,,f,0.0499,MWhel/MWh-MeOH-LHV,"Methanol synthesis electricity input 0.0499 MJ/MJ_(CH3OH,LHV).","Concave & Aramco. (2022). E-Fuels: A techno-economic assessment of European domestic production and imports towards 2050 (Concawe Report 17/22). Retrieved 12 April 2023, from https://www.concawe.eu/publication/e-fuels-a-techno-economic-assessment-of-european-domestic-production-and-imports-towards-2050/ , table 83."
ccgt,,b,False,,include CCGT,
ocgt,,b,False,,include OCGT,
hydrogen_storage_cavern_discount,,f,5,percent,Hydrogen underground salt cavern storage discount rate,
hydrogen_storage_cavern_cost,2030,f,0.15,EUR/kWh,Hydrogen underground salt cavern storage CAPEX; based on cavern storage site with total 1.5 TWh storage volume considering all costs except for Surface Processing Unit i.e. 199M GBP/1.5TWh*1.08/1.02^3 where 1 GBP:1.08 EUR exchange rate and inflation adjustment for 3 years with 2%/a from 2018 to 2015 is done,"H21 NoE (2018) report https://www.h21.green/app/uploads/2019/01/H21-NoE-PRINT-PDF-FINAL-1.pdf , table 3-30 and text"
hydrogen_storage_cavern_fom,2030,f,4,percent of overnight cost per year,Hydrogen underground salt cavern storage fixed operation and maintenance costs,"H21 NoE (2018) report https://www.h21.green/app/uploads/2019/01/H21-NoE-PRINT-PDF-FINAL-1.pdf , text below table 3-30"
hydrogen_storage_cavern_lifetime,2030,f,100,years,Hydrogen underground salt cavern storage lifetime,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
wind_cost,2020,f,1235.21,EUR/kW,Onshore wind turbine capital cost (overnight),"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
wind_fom,2020,f,1.25,percent of overnight cost per year,Onshore wind turbine fixed operation and maintenance costs,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
wind_lifetime,2020,f,27.0,years,Onshore wind turbine lifetime,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
wind_cost,2030,f,1143.34,EUR/kW,Onshore wind turbine capital cost (overnight),"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
wind_fom,2030,f,1.22,percent of overnight cost per year,Onshore wind turbine fixed operation and maintenance costs,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
wind_lifetime,2030,f,30.0,years,Onshore wind turbine lifetime,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
wind_cost,2040,f,1079.32,EUR/kW,Onshore wind turbine capital cost (overnight),"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
wind_fom,2040,f,1.19,percent of overnight cost per year,Onshore wind turbine fixed operation and maintenance costs,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
wind_lifetime,2040,f,30.0,years,Onshore wind turbine lifetime,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
wind_cost,2050,f,1063.31,EUR/kW,Onshore wind turbine capital cost (overnight),"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
wind_fom,2050,f,1.18,percent of overnight cost per year,Onshore wind turbine fixed operation and maintenance costs,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
wind_lifetime,2050,f,30.0,years,Onshore wind turbine lifetime,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
solar_cost,2020,f,562.5,EUR/kW_e,Utility-scale solar PV capital cost (overnight),"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
solar_fom,2020,f,2.01,percent of overnight cost per year,Utility-scale solar PV fixed operation and maintenance costs,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
solar_lifetime,2020,f,35.0,years,Utility-scale solar PV lifetime,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
solar_cost,2030,f,383.73,EUR/kW_e,Utility-scale solar PV capital cost (overnight),"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
solar_fom,2030,f,2.48,percent of overnight cost per year,Utility-scale solar PV fixed operation and maintenance costs,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
solar_lifetime,2030,f,40.0,years,Utility-scale solar PV lifetime,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
solar_cost,2040,f,320.82,EUR/kW_e,Utility-scale solar PV capital cost (overnight),"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
solar_fom,2040,f,2.52,percent of overnight cost per year,Utility-scale solar PV fixed operation and maintenance costs,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
solar_lifetime,2040,f,40.0,years,Utility-scale solar PV lifetime,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
solar_cost,2050,f,292.58,EUR/kW_e,Utility-scale solar PV capital cost (overnight),"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
solar_fom,2050,f,2.53,percent of overnight cost per year,Utility-scale solar PV fixed operation and maintenance costs,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
solar_lifetime,2050,f,40.0,years,Utility-scale solar PV lifetime,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
hydrogen_electrolyser_cost,2020,f,717.65,EUR/kW_e,Hydrogen electrolyser capital cost (overnight),"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
hydrogen_electrolyser_fom,2020,f,2.0,percent of overnight cost per year,Hydrogen electrolyser fixed operation and maintenance costs,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
hydrogen_electrolyser_lifetime,2020,f,25.0,years,Hydrogen electrolyser lifetime,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
hydrogen_electrolyser_cost,2030,f,496.84,EUR/kW_e,Hydrogen electrolyser capital cost (overnight),"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
hydrogen_electrolyser_fom,2030,f,2.0,percent of overnight cost per year,Hydrogen electrolyser fixed operation and maintenance costs,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
hydrogen_electrolyser_lifetime,2030,f,30.0,years,Hydrogen electrolyser lifetime,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
hydrogen_electrolyser_cost,2040,f,331.22,EUR/kW_e,Hydrogen electrolyser capital cost (overnight),"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
hydrogen_electrolyser_fom,2040,f,2.0,percent of overnight cost per year,Hydrogen electrolyser fixed operation and maintenance costs,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
hydrogen_electrolyser_lifetime,2040,f,32.0,years,Hydrogen electrolyser lifetime,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
hydrogen_electrolyser_cost,2050,f,276.02,EUR/kW_e,Hydrogen electrolyser capital cost (overnight),"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
hydrogen_electrolyser_fom,2050,f,2.0,percent of overnight cost per year,Hydrogen electrolyser fixed operation and maintenance costs,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
hydrogen_electrolyser_lifetime,2050,f,35.0,years,Hydrogen electrolyser lifetime,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
hydrogen_turbine_discount,,f,5,percent,Hydrogen combined cycle turbine discount rate,
hydrogen_turbine_cost,2020,f,971.59,EUR/kW,Hydrogen combined cycle turbine capital cost (overnight),"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
hydrogen_turbine_fom,2020,f,3.33,percent of overnight cost per year,Hydrogen combined cycle turbine fixed operation and maintenance costs,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
hydrogen_turbine_lifetime,2020,f,25.0,years,Hydrogen combined cycle turbine lifetime,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
hydrogen_turbine_cost,2030,f,916.39,EUR/kW,Hydrogen combined cycle turbine capital cost (overnight),"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
hydrogen_turbine_fom,2030,f,3.35,percent of overnight cost per year,Hydrogen combined cycle turbine fixed operation and maintenance costs,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
hydrogen_turbine_lifetime,2030,f,25.0,years,Hydrogen combined cycle turbine lifetime,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
hydrogen_turbine_cost,2040,f,899.83,EUR/kW,Hydrogen combined cycle turbine capital cost (overnight),"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
hydrogen_turbine_fom,2040,f,3.3,percent of overnight cost per year,Hydrogen combined cycle turbine fixed operation and maintenance costs,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
hydrogen_turbine_lifetime,2040,f,25.0,years,Hydrogen combined cycle turbine lifetime,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
hydrogen_turbine_cost,2050,f,883.26,EUR/kW,Hydrogen combined cycle turbine capital cost (overnight),"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
hydrogen_turbine_fom,2050,f,3.25,percent of overnight cost per year,Hydrogen combined cycle turbine fixed operation and maintenance costs,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
hydrogen_turbine_lifetime,2050,f,25.0,years,Hydrogen combined cycle turbine lifetime,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
hydrogen_storage_tank_discount,,f,5,percent,Compressed hydrogen storage tank discount rate,
hydrogen_storage_tank_cost,2020,f,13.5,EUR/kWh_H2,Compressed hydrogen storage tank capital cost (overnight),"Based on Stöckl et al (2021): https://doi.org/10.48550/arXiv.2005.03464, table SI.9."
hydrogen_storage_tank_fom,2020,f,2.0,percent of overnight cost per year,Compressed hydrogen storage tank fixed operation and maintenance costs,"Based on Stöckl et al (2021): https://doi.org/10.48550/arXiv.2005.03464, table SI.9."
hydrogen_storage_tank_lifetime,2020,f,20.0,years,Compressed hydrogen storage tank lifetime,"Based on Stöckl et al (2021): https://doi.org/10.48550/arXiv.2005.03464, table SI.9."
hydrogen_storage_tank_cost,2030,f,13.5,EUR/kWh_H2,Compressed hydrogen storage tank capital cost (overnight),"Based on Stöckl et al (2021): https://doi.org/10.48550/arXiv.2005.03464, table SI.9."
hydrogen_storage_tank_fom,2030,f,2.0,percent of overnight cost per year,Compressed hydrogen storage tank fixed operation and maintenance costs,"Based on Stöckl et al (2021): https://doi.org/10.48550/arXiv.2005.03464, table SI.9."
hydrogen_storage_tank_lifetime,2030,f,20.0,years,Compressed hydrogen storage tank lifetime,"Based on Stöckl et al (2021): https://doi.org/10.48550/arXiv.2005.03464, table SI.9."
hydrogen_storage_tank_cost,2040,f,13.5,EUR/kWh_H2,Compressed hydrogen storage tank capital cost (overnight),"Based on Stöckl et al (2021): https://doi.org/10.48550/arXiv.2005.03464, table SI.9."
hydrogen_storage_tank_fom,2040,f,2.0,percent of overnight cost per year,Compressed hydrogen storage tank fixed operation and maintenance costs,"Based on Stöckl et al (2021): https://doi.org/10.48550/arXiv.2005.03464, table SI.9."
hydrogen_storage_tank_lifetime,2040,f,20.0,years,Compressed hydrogen storage tank lifetime,"Based on Stöckl et al (2021): https://doi.org/10.48550/arXiv.2005.03464, table SI.9."
hydrogen_storage_tank_cost,2050,f,13.5,EUR/kWh_H2,Compressed hydrogen storage tank capital cost (overnight),"Based on Stöckl et al (2021): https://doi.org/10.48550/arXiv.2005.03464, table SI.9."
hydrogen_storage_tank_fom,2050,f,2.0,percent of overnight cost per year,Compressed hydrogen storage tank fixed operation and maintenance costs,"Based on Stöckl et al (2021): https://doi.org/10.48550/arXiv.2005.03464, table SI.9."
hydrogen_storage_tank_lifetime,2050,f,20.0,years,Compressed hydrogen storage tank lifetime,"Based on Stöckl et al (2021): https://doi.org/10.48550/arXiv.2005.03464, table SI.9."
battery_energy_cost,2020,f,256.15,EUR/kWh,Utility-scale battery energy capital cost (overnight),"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
battery_energy_fom,2020,f,0,percent of overnight cost per year,Utility-scale battery energy fixed operation and maintenance costs,default
battery_energy_lifetime,2020,f,20.0,years,Utility-scale battery energy lifetime,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
battery_energy_cost,2030,f,156.78,EUR/kWh,Utility-scale battery energy capital cost (overnight),"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
battery_energy_fom,2030,f,0,percent of overnight cost per year,Utility-scale battery energy fixed operation and maintenance costs,default
battery_energy_lifetime,2030,f,25.0,years,Utility-scale battery energy lifetime,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
